Name,Title,Department
Antoine Colombani,Cabinet member,"('Frans Timmermans', 'Mairead Mcguinness')"
Katherine Power,Cabinet member,"('Frans Timmermans', 'Mairead Mcguinness')"
Daniel Calleja Crespo,Director-General,"('Ursula von der Leyen',)"
Katalin Molnar,Cabinet member,"('Janusz Wojciechowski',)"
Gosia Pearson,Cabinet member,"('Ylva Johansson',)"
Stéphanie Riso,Cabinet member,"('Ursula von der Leyen',)"
Rozalina Petrova,Cabinet member,"('Frans Timmermans', 'Virginijus Sinkevičius')"
Leila Fernandez-Stembridge,Cabinet member,"('Josep Borrell Fontelles',)"
Anne Funch Jensen,Cabinet member,"('Margrethe Vestager',)"
Valeria Miceli,Cabinet member,"('Ursula von der Leyen', 'Mairead Mcguinness')"
Katherine Power,Cabinet member,"('Ursula von der Leyen', 'Mairead Mcguinness')"
Caroline Boeshertz,Cabinet member,"('Valdis Dombrovskis',)"
Alina-Stefania Ujupan,Cabinet member,"('Frans Timmermans', 'Virginijus Sinkevičius', 'Margrethe Vestager')"
Rozalina Petrova,Cabinet member,"('Frans Timmermans', 'Virginijus Sinkevičius', 'Margrethe Vestager')"
Helena Braun,Cabinet member,"('Frans Timmermans', 'Virginijus Sinkevičius', 'Margrethe Vestager')"
