TR Name,Category of registration,Degree,Hypercoreness_False,Hypercoreness_sub_False,Hypercoreness_True,Hypercoreness_sub_True,Hypercoreness_G_False,Hypercoreness_G_sub_False,Hypercoreness_G_True,Hypercoreness_G_sub_True,TR Country,Members FTE,Assets,Revenue,Nb employees,NACE,Level Sub-National,Level Global,Level European,Level National,Level Regional/Local
Mozilla Corporation,Companies and groups,10.0,0.312427631474135,0.233822722967247,0.0552251995756225,0.0528118287796758,0.583333333333333,0.21875,0.124,0.134020618556701,UNITED STATES,1.35,,119000.0,58.0,J - Information and communication,0,1,1,1,0
EU-LIFE,"Non-governmental organisations, platforms and networks and similar",2.0,0.0520575443292071,,0.0055790025979159,,0.0555555555555556,,0.008,,SPAIN,2.25,,,,,0,0,1,0,0
Българска асоциация по информационни технологии,Trade unions and professional associations,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,BULGARIA,0.25,,,,,0,0,0,1,0
Swiss Finance Council,Trade and business associations,11.0,0.26373369019739,0.0296624956378683,0.0335211466389878,0.0043342792857791,0.277777777777778,0.03125,0.048,0.0103092783505155,SWITZERLAND,1.7,,,,,0,0,1,1,0
Greenpeace European Unit,"Non-governmental organisations, platforms and networks and similar",53.0,0.914947665248769,0.923201555411536,0.219283055319456,0.369699568976901,0.777777777777778,0.5,0.352,0.65979381443299,BELGIUM,3.55,,,,,1,1,1,1,0
Latvijas Tirdzniecības un rūpniecības kamera (LTRK),Trade and business associations,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,LATVIA,0.25,,,,,0,0,0,1,0
European Council on Foreign Relations,Think tanks and research institutions,19.0,0.447276999792891,0.390982019708527,0.084142975148272,0.0994190186120825,0.694444444444444,0.40625,0.156,0.185567010309278,GERMANY,1.4,,,,,0,1,1,1,0
industriAll European Trade Union,Trade unions and professional associations,47.0,0.954081632653061,0.813111737042392,0.225605952830149,0.288571992038526,0.888888888888889,0.84375,0.348,0.45360824742268,BELGIUM,17.5,,,,,0,0,1,0,0
Aughinish Alumina Ltd,Companies and groups,2.0,0.0520575443292071,,0.0055790025979159,,0.0555555555555556,,0.008,,IRELAND,1.25,6974.71910621345,57095.1516680312,459.0,C - Manufacturing,0,0,1,0,0
European University Association,"Non-governmental organisations, platforms and networks and similar",8.0,0.118852459016393,,0.0251290772163677,,0.138888888888889,,0.036,,BELGIUM,8.75,,,,,0,1,1,0,0
Austrian Airlines,Companies and groups,2.0,0.0260287721646035,,0.0055790025979159,,0.0277777777777778,,0.008,,AUSTRIA,0.5,,,5700.0,H - Transportation and storage,0,1,1,1,0
Irish Creamery Milk Suppliers Association,Trade unions and professional associations,3.0,0.0928236868517899,,0.011181570721578,,0.111111111111111,,0.016,,IRELAND,6.75,,,,,1,1,1,1,0
Association of European Research Establishments in Aeronautics,Think tanks and research institutions,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,NETHERLANDS,2.75,,,,,0,0,1,0,0
Shell Companies,Companies and groups,65.0,0.950745590976437,0.816352177742327,0.230685018223605,0.293093917886068,1.0,1.0,0.332,0.45360824742268,UNITED KINGDOM,12.0,443024000.0,381314000.0,93000.0,B - Mining and quarrying,0,1,0,0,0
Royal Schiphol Group,Companies and groups,6.0,0.206034188851185,0.155836116788806,0.0288034703711914,0.0327702808225808,0.25,0.15625,0.044,0.0721649484536082,NETHERLANDS,2.5,11387631.2048328,844582.997415066,2711.0,H - Transportation and storage,1,0,1,1,0
Heathrow Airport Holdings Limited,Companies and groups,2.0,0.10191910019277,0.155836116788806,0.0176454651753596,0.0327702808225808,0.166666666666667,0.15625,0.036,0.0721649484536082,UNITED KINGDOM,0.2,24905930.6886196,3515407.31155872,6213.0,"M - Professional, scientific and technical activities",0,1,1,1,1
Airports Council International - European Region,Trade and business associations,32.0,0.707449855820548,0.50486896987221,0.135189638551382,0.168089453649258,0.833333333333333,0.71875,0.224,0.34020618556701,BELGIUM,10.5,,,,,0,0,1,0,0
Hybrit Development AB,Companies and groups,4.0,0.157255970303812,0.127197683500341,0.0225131268914895,0.0232004071217808,0.25,0.15625,0.036,0.0515463917525773,SWEDEN,0.1,80254.8094380051,198.037836924195,41.0,"M - Professional, scientific and technical activities",0,0,1,1,1
Peter G. Peterson Institute for International Economics,Think tanks and research institutions,5.0,0.124177539868406,0.0296624956378683,0.0186016602109924,0.0043342792857791,0.166666666666667,0.03125,0.028,0.0103092783505155,UNITED STATES,5.25,,,,,0,1,0,0,0
Comité Européen des Entreprises Vins,Trade and business associations,9.0,0.315719702400867,0.175087658075344,0.0433451606707651,0.0327763199540147,0.388888888888889,0.1875,0.072,0.0824742268041237,BELGIUM,6.0,,,,,0,0,1,0,0
Kulttuuri- ja taidealan keskusjärjestö KULTA ry (KULTA ry),"Non-governmental organisations, platforms and networks and similar",1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,FINLAND,0.5,,,,,0,0,0,1,0
Bill & Melinda Gates Foundation,"Non-governmental organisations, platforms and networks and similar",49.0,0.539200879414998,0.145425162437476,0.101606097849336,0.0327763199540147,0.583333333333333,0.125,0.168,0.0515463917525773,UNITED STATES,2.85,,,,,1,1,1,1,0
IBERDROLA,Companies and groups,36.0,0.948159919705587,0.802742326802599,0.188665858911393,0.274603902642754,0.888888888888889,0.75,0.332,0.45360824742268,SPAIN,3.25,164967743.050456,58513647.9258537,40090.0,"D - Electricity, gas, steam and air conditioning supply",1,1,1,1,0
Tesla Motors Netherlands B.V.,Companies and groups,21.0,0.508013669167901,0.135853399139206,0.0893654776952839,0.0278143451045922,0.638888888888889,0.15625,0.136,0.0515463917525773,NETHERLANDS,3.5,8346607.09959805,21984856.3785297,708.0,"M - Professional, scientific and technical activities",1,1,1,1,0
Związek Pracodawców Business & Science Poland,Trade and business associations,5.0,0.0780863164938106,,0.0139475064947898,,0.0833333333333333,,0.02,,POLAND,6.0,,,,,0,1,1,1,0
IP Europe,Trade and business associations,6.0,0.208158645191098,0.170094055868521,0.029350523124483,0.0358197121036468,0.305555555555556,0.21875,0.056,0.0824742268041237,BELGIUM,1.6,,,,,0,1,1,1,0
SOLAR IMPULSE FOUNDATION,"Non-governmental organisations, platforms and networks and similar",24.0,0.469454029855502,0.254048473669342,0.0825915993592745,0.0775276073418687,0.805555555555556,0.71875,0.172,0.237113402061856,SWITZERLAND,1.75,,,,,0,1,0,0,0
Business Bridge Europe,Professional consultancies,9.0,0.257767369242779,0.0296624956378683,0.0325962977572745,0.0043342792857791,0.277777777777778,0.03125,0.048,0.0103092783505155,BELGIUM,4.5,,,,,0,0,1,0,0
Airlines for America,Trade and business associations,9.0,0.237063677930188,,0.0372268859477309,,0.166666666666667,,0.056,,UNITED STATES,1.0,,,,,1,1,1,1,0
"AT&T, Inc.",Companies and groups,10.0,0.298533511765362,,0.0409883671798945,,0.361111111111111,,0.06,,UNITED STATES,1.5,407060000.0,122428000.0,,J - Information and communication,0,1,0,0,0
Ericsson,Companies and groups,50.0,0.810493077793178,0.766517938747362,0.181993631749764,0.272747820359946,0.861111111111111,0.90625,0.284,0.556701030927835,SWEDEN,5.25,12649517.3944879,15655502.0636953,14799.0,J - Information and communication,1,1,1,1,0
Società italiana per l'assistenza al volo,Companies and groups,2.0,0.0260287721646035,,0.0055790025979159,,0.0277777777777778,,0.008,,ITALY,2.0,2580092.42950261,1016234.6604228,4185.0,H - Transportation and storage,0,0,1,1,0
Unione Italiana del Lavoro,Trade unions and professional associations,4.0,0.19843409963517,0.127197683500341,0.0335892049028087,0.0232004071217808,0.277777777777778,0.09375,0.068,0.0515463917525773,ITALY,1.75,,,,,1,0,1,1,0
Confederazione Generale Italiana del Lavoro,Trade unions and professional associations,9.0,0.374002772069015,0.317384548914037,0.0723962125890834,0.0860424406942915,0.555555555555556,0.40625,0.14,0.164948453608247,ITALY,6.35,,,,,1,1,1,1,0
Confederazione Italiana Sindacati Lavoratori,Trade unions and professional associations,3.0,0.123351654479122,0.0975351878624724,0.0185754749499001,0.0188661278360017,0.222222222222222,0.09375,0.04,0.0412371134020619,ITALY,8.25,,,,,1,1,1,1,0
Industrianställda i Norden,Trade unions and professional associations,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,SWEDEN,3.75,,,,,1,1,1,1,0
european competitive telecommunications association,Trade and business associations,3.0,0.0667949146871864,,0.011181570721578,,0.0555555555555556,,0.016,,BELGIUM,2.0,,,,,0,0,1,0,0
European Brain Council,"Non-governmental organisations, platforms and networks and similar",5.0,0.18532332839459,0.219849361051565,0.0303341014904915,0.0713789164438552,0.611111111111111,0.625,0.088,0.206185567010309,BELGIUM,9.25,,,,,0,1,1,1,0
General Electric Company,Companies and groups,26.0,0.75791298252322,0.682659072403078,0.140066669160693,0.218183225179284,0.861111111111111,0.75,0.236,0.360824742268041,UNITED STATES,2.2,163045000.0,67954000.0,,C - Manufacturing,1,1,1,1,0
Siemens AG,Companies and groups,40.0,0.874925361245201,0.814407913322366,0.202878554569082,0.329304668727657,0.861111111111111,0.90625,0.284,0.556701030927835,GERMANY,7.75,153683905.175805,82812198.3889342,320000.0,J - Information and communication,1,1,1,1,0
Endesa,Companies and groups,6.0,0.303240931032835,0.387714575336092,0.0539720488331243,0.131647496185437,0.611111111111111,0.5,0.14,0.278350515463918,SPAIN,0.75,53287310.4333878,35086856.7657471,9258.0,"D - Electricity, gas, steam and air conditioning supply",1,0,1,1,0
Ibec,Trade and business associations,26.0,0.494391498988354,0.340674177842033,0.100232862306652,0.0963626309788035,0.916666666666667,1.0,0.176,0.329896907216495,IRELAND,10.9,,,,,1,1,1,1,0
